Index,Start,End,Text
2023,"02:05:23,080","02:05:25,080",Have you?
2024,"02:05:25,080","02:05:26,080",Of course I haven't.
2025,"02:05:26,080","02:05:28,080",I've come to see the movement family.
2026,"02:05:32,080","02:05:34,080",It is our suitcase.
2027,"02:05:34,080","02:05:36,080",It is.
2028,"02:05:36,080","02:05:37,080",Of course it is.
2029,"02:05:37,080","02:05:40,080","Now, have you come to see the movements, too?"
2030,"02:05:41,080","02:05:42,080",Hello?
2031,"02:05:42,080","02:05:44,080","Oh, oh, oh."
2032,"02:05:44,080","02:05:46,080","Oh, there you are."
2033,"02:05:46,080","02:05:48,080",I thought it was you.
2034,"02:05:49,080","02:05:53,080","Are you expecting these two guests, Mum and Mama?"
2035,"02:05:53,080","02:05:54,080",I think so.
2036,"02:05:54,080","02:05:57,080","And they've got a suitcase, so they must be staying."
2037,"02:05:57,080","02:05:58,080",That's nice.
2038,"02:05:58,080","02:06:00,080","You will stay, won't you?"
2039,"02:06:00,080","02:06:02,080",Is it alright with you?
2040,"02:06:02,080","02:06:04,080",Of course it is.
2041,"02:06:04,080","02:06:06,080",I'm Mum and Mama.
2042,"02:06:06,080","02:06:09,080","I'm Dany, and this is my friend Bob, Mum and Mama."
2043,"02:06:09,080","02:06:11,080",You're welcome.
2044,"02:06:11,080","02:06:14,080",Come in and make yourselves at home.
2045,"02:06:14,080","02:06:17,080","I think it'll be okay, Dany."
2046,"02:06:19,080","02:06:20,080",Careful!
2047,"02:06:20,080","02:06:21,080",He must have dropped it!
2048,"02:06:21,080","02:06:22,080",Hi!
2049,"02:06:24,080","02:06:26,080","They are a bit strange, aren't they?"
2050,"02:06:26,080","02:06:28,080","Yes, definitely."
2051,"02:06:28,080","02:06:30,080","So, what can I do for you today, Inspector?"
2052,"02:06:30,080","02:06:35,080","Oh, well, I heard that Mumble was back from holiday, so..."
2053,"02:06:35,080","02:06:37,080","Yes, that's right."
2054,"02:06:37,080","02:06:39,080","Oh, do you want..."
2055,"02:06:39,080","02:06:41,080",Are you here now?
2056,"02:06:41,080","02:06:42,080","No, Inspector."
2057,"02:06:42,080","02:06:44,080",I'm afraid she's gone home with little Mai.
2058,"02:06:44,080","02:06:46,080","Oh, right."
2059,"02:06:46,080","02:06:48,080","I have to keep an eye on things, you know?"
2060,"02:06:48,080","02:06:50,080",Very important.
2061,"02:06:50,080","02:06:51,080",Who goes away?
2062,"02:06:51,080","02:06:53,080",Who comes back?
2063,"02:06:55,080","02:06:59,080","Well, I'll say goodbye, Dan, Mum and Mama."
2064,"02:07:00,080","02:07:03,080",I do believe he's fallen for Mumble.
2065,"02:07:03,080","02:07:05,080",But has she fallen for him?
2066,"02:07:05,080","02:07:06,080",I wonder.
2067,"02:07:06,080","02:07:07,080",What are the new guests doing?
2068,"02:07:07,080","02:07:09,080","Looking scared, mostly."
2069,"02:07:09,080","02:07:11,080",Who one...
2070,"02:07:11,080","02:07:12,080",Do one...
2071,"02:07:12,080","02:07:14,080",Do one...
2072,"02:07:17,080","02:07:19,080",Do one...
2073,"02:07:31,080","02:07:32,080",Here you are.
2074,"02:07:32,080","02:07:33,080",I've emptied these drawers for you.
2075,"02:07:33,080","02:07:35,080",There should be enough room.
2076,"02:07:35,080","02:07:37,080","Thank you, Norman."
2077,"02:07:43,080","02:07:45,080",Where should we put this suitcase?
2078,"02:07:46,080","02:07:48,080",Let's see.
2079,"02:07:48,080","02:07:50,080",In this drawer?
2080,"02:07:54,080","02:07:56,080","Look, there's a good place to hide, too."
2081,"02:07:56,080","02:07:57,080","Oh, look at this."
2082,"02:07:57,080","02:08:00,080",They made such a pretty bad for us.
2083,"02:08:00,080","02:08:02,080",I like the movements.
2084,"02:08:02,080","02:08:04,080",They didn't scream at all.
2085,"02:08:07,080","02:08:10,080","You still gotta be careful, though."
2086,"02:08:17,080","02:08:18,080",No.
2087,"02:08:20,080","02:08:23,080","We've had some very strange people staying at our house,"
2088,"02:08:23,080","02:08:26,080",but I think these two are really weird.
2089,"02:08:26,080","02:08:28,080","Well, they're Northerners."
2090,"02:08:28,080","02:08:29,080",I guess so.
2091,"02:08:29,080","02:08:31,080",With names like Thingamy and Bob.
2092,"02:08:31,080","02:08:33,080",And that suitcase.
2093,"02:08:33,080","02:08:37,080","They look a lot like fugitives to me, Snuffkin."
2094,"02:08:37,080","02:08:40,080",And perhaps they're dangerous criminals on the run.
2095,"02:08:40,080","02:08:42,080",Do you want to see them?
2096,"02:08:42,080","02:08:45,080","Yeah, I wouldn't mind, Mum."
2097,"02:08:45,080","02:08:46,080",Norman?
2098,"02:09:12,080","02:09:14,080","Ah, there you are."
2099,"02:09:14,080","02:09:15,080",Where are they doing now?
2100,"02:09:15,080","02:09:16,080",No idea.
2101,"02:09:16,080","02:09:20,080","I couldn't hear anything, so they must be asleep."
2102,"02:09:20,080","02:09:23,080","We think they're fugitives, Mum and Papa."
2103,"02:09:23,080","02:09:25,080",They're probably on the run from the law.
2104,"02:09:25,080","02:09:29,080","Well, they are a bit funny, but they're suitcase."
2105,"02:09:29,080","02:09:31,080",Gold coins.
2106,"02:09:31,080","02:09:33,080",Stole and state secrets.
2107,"02:09:33,080","02:09:36,080","We better hide all the matches, Papa."
2108,"02:09:36,080","02:09:39,080","Public enemies, numbers, and two,"
2109,"02:09:39,080","02:09:41,080","but they don't look like it, though."
2110,"02:09:42,080","02:09:44,080","How about some tea, Snuffkin?"
2111,"02:09:44,080","02:09:45,080",Sniff?
2112,"02:09:45,080","02:09:46,080","Yes, please."
2113,"02:09:46,080","02:09:48,080",Any cakes as well?
2114,"02:09:49,080","02:09:50,080",Oh.
2115,"02:10:10,080","02:10:11,080",Thingamy?
2116,"02:10:19,080","02:10:21,080","Oh, no."
2117,"02:10:21,080","02:10:23,080","This look is gone, too."
2118,"02:10:23,080","02:10:24,080",What am I going to do?
2119,"02:10:24,080","02:10:25,080","Oh, oh, oh, oh."
2120,"02:10:25,080","02:10:26,080",What am I going to do?
2121,"02:10:26,080","02:10:28,080",What am I going to do?
2122,"02:10:28,080","02:10:30,080","You wake up, ready?"
2123,"02:10:30,080","02:10:31,080",Oh.
2124,"02:10:31,080","02:10:33,080",What a nerfie you're doing under the bed.
2125,"02:10:33,080","02:10:36,080",It's the safest place.
2126,"02:10:36,080","02:10:38,080","Something's about to happen, though."
2127,"02:10:38,080","02:10:40,080",I can feel her coming.
2128,"02:10:40,080","02:10:41,080",That's what woke me up.
2129,"02:10:41,080","02:10:42,080",Don't be silly.
2130,"02:10:42,080","02:10:44,080",She can't know we're here.
2131,"02:10:44,080","02:10:45,080",She can.
2132,"02:10:45,080","02:10:48,080",And I know she'll be here to hide.
2133,"02:10:55,080","02:10:58,080","Well, it's very windy tonight, moment."
2134,"02:10:58,080","02:11:02,080","You know, chilly, too, don't you think?"
2135,"02:11:02,080","02:11:05,080","Oh, hello."
2136,"02:11:07,080","02:11:09,080",Did you sleep well?
2137,"02:11:09,080","02:11:11,080",Would you like some tea?
2138,"02:11:11,080","02:11:13,080","Hey, so that's them."
2139,"02:11:14,080","02:11:15,080",Don't worry.
2140,"02:11:15,080","02:11:16,080",These are good friends of mine.
2141,"02:11:16,080","02:11:17,080",Let me introduce you.
2142,"02:11:17,080","02:11:19,080",Sniff and snuff can.
2143,"02:11:22,080","02:11:24,080",And what's the matter?
2144,"02:11:27,080","02:11:28,080",She's coming.
2145,"02:11:28,080","02:11:30,080","Yes, she is."
2146,"02:11:30,080","02:11:32,080","Well, who is my dear?"
2147,"02:11:32,080","02:11:33,080",The girl.
2148,"02:11:33,080","02:11:34,080",The girl.
2149,"02:11:34,080","02:11:36,080",Yes ... she's terrible.
2150,"02:11:36,080","02:11:37,080",Who?
2151,"02:11:39,080","02:11:40,080",You know who she is?
2152,"02:11:40,080","02:11:41,080",Yes.
2153,"02:11:41,080","02:11:42,080",I've never seen her.
2154,"02:11:42,080","02:11:44,080","But I've heard she's a scary monster, all right."
2155,"02:11:44,080","02:11:45,080",Scary monster?
2156,"02:11:45,080","02:11:48,080","And this, uh, grope is after you."
2157,"02:11:48,080","02:11:50,080","Yes, she is."
2158,"02:12:02,080","02:12:04,080","Now, don't you worry."
2159,"02:12:04,080","02:12:06,080",She'll think twice before she tangles with me.
2160,"02:12:06,080","02:12:07,080",Will she?
2161,"02:12:07,080","02:12:10,080",If she's a scary monster?
2162,"02:12:10,080","02:12:11,080",Monster or not.
2163,"02:12:11,080","02:12:14,080","If you're a guest in Moomin House, nothing will harm you."
2164,"02:12:14,080","02:12:15,080","Right, everyone."
2165,"02:12:15,080","02:12:18,080",Lock all the doors and you two go to your room.
2166,"02:12:18,080","02:12:20,080","Thank you, Moomin Papa."
2167,"02:12:20,080","02:12:23,080",Nobody is going to get in here.
2168,"02:12:23,080","02:12:24,080",Well said.
2169,"02:12:24,080","02:12:28,080","To Am's family, to Am's."
2170,"02:12:28,080","02:12:31,080","Ready for more tea, anyone?"
2171,"02:12:33,080","02:12:34,080",What's the matter?
2172,"02:12:34,080","02:12:37,080",We're going to be attacked by a huge scary monster.
2173,"02:12:37,080","02:12:38,080",Heavens.
2174,"02:12:39,080","02:12:42,080","You'd better get the frying pan, Mama."
2175,"02:12:42,080","02:12:43,080",Oh dear.
2176,"02:12:48,080","02:12:49,080",All right.
2177,"02:12:49,080","02:12:51,080",Has everyone got a weapon?
2178,"02:13:09,080","02:13:10,080",Oh.
2179,"02:13:32,080","02:13:35,080","Well, it's midnight."
2180,"02:13:35,080","02:13:36,080",I don't know.
2181,"02:13:36,080","02:13:37,080",It's midnight.
2182,"02:13:37,080","02:13:40,080",I don't believe in that stupid grog.
2183,"02:13:40,080","02:13:41,080",I hope you're right.
2184,"02:13:50,080","02:13:51,080",She's coming.
2185,"02:13:51,080","02:13:52,080",She's here.
2186,"02:13:52,080","02:13:54,080","Yes, she's very close now."
2187,"02:14:07,080","02:14:09,080",I'm going home.
2188,"02:14:10,080","02:14:11,080",This is silly.
2189,"02:14:11,080","02:14:12,080",We can't wait up all night.
2190,"02:14:12,080","02:14:15,080","Besides, I'm getting very sleepy."
2191,"02:14:15,080","02:14:17,080",It's up to you.
2192,"02:14:17,080","02:14:18,080",Right.
2193,"02:14:18,080","02:14:19,080","I'm going, man."
2194,"02:14:19,080","02:14:20,080",Moomin Papa.
2195,"02:14:20,080","02:14:21,080",Watch your back.
2196,"02:14:23,080","02:14:24,080",Yes.
2197,"02:14:24,080","02:14:25,080",Keep in the open.
2198,"02:14:25,080","02:14:28,080",You guys are only trying to frighten me.
2199,"02:14:28,080","02:14:31,080","Well, it won't work."
2200,"02:14:36,080","02:14:37,080",She's here.
2201,"02:14:37,080","02:14:39,080","No, she's not."
2202,"02:14:39,080","02:14:41,080",There are no such things as monsters.
2203,"02:14:41,080","02:14:44,080",Just a trap blowing the candles out.
2204,"02:14:53,080","02:14:54,080",Hmm.
2205,"02:14:54,080","02:14:55,080",You see?
2206,"02:14:55,080","02:14:57,080",There's nobody there.
2207,"02:14:57,080","02:15:02,080","Well, in that case, there's nothing to stop you going home, Sniff."
2208,"02:15:06,080","02:15:08,080",Do you think I'm scared?
2209,"02:15:08,080","02:15:09,080",You're making it up.
2210,"02:15:09,080","02:15:10,080","Come on, admit it."
2211,"02:15:10,080","02:15:12,080",There aren't any grog.
2212,"02:15:12,080","02:15:13,080",Not at all.
2213,"02:15:29,080","02:15:30,080",You see?
2214,"02:15:30,080","02:15:32,080",There's no one here at all.
2215,"02:15:37,080","02:15:38,080",Uh-huh.
2216,"02:15:50,080","02:15:52,080","Oh, be careful."
2217,"02:15:52,080","02:15:53,080",Watch what you're doing.
2218,"02:15:53,080","02:15:54,080",It's here.
2219,"02:15:54,080","02:15:55,080",It's here.
2220,"02:15:55,080","02:15:56,080",Where?
2221,"02:15:56,080","02:15:58,080",Right outside that door.
2222,"02:15:58,080","02:16:00,080",Big and black and horrible.
2223,"02:16:00,080","02:16:01,080",Right.
2224,"02:16:02,080","02:16:04,080","No, don't open it."
2225,"02:16:04,080","02:16:05,080",She'll get in.
2226,"02:16:07,080","02:16:09,080","Come on, everybody."
2227,"02:16:15,080","02:16:17,080","Well, there's nobody here, Sniff."
2228,"02:16:17,080","02:16:18,080",Are you sure?
2229,"02:16:24,080","02:16:26,080",I can't see anything.
2230,"02:16:27,080","02:16:29,080","Oh, I must have scared."
2231,"02:16:29,080","02:16:32,080","That silly old grog away, moment."
2232,"02:16:32,080","02:16:35,080","That will teach her to come sniffing around here, all right?"
2233,"02:16:35,080","02:16:37,080","No, that she is."
2234,"02:16:50,080","02:16:51,080",Mm-hmm.
2235,"02:16:51,080","02:16:53,080","Mrs. Groke, we'd like you to go home."
2236,"02:16:53,080","02:16:55,080",Now you just go on.
2237,"02:16:56,080","02:16:58,080",You're upsetting our guests.
2238,"02:16:58,080","02:17:00,080",And you're freezing my roses.
2239,"02:17:00,080","02:17:02,080","Yes, you've been bullied."
2240,"02:17:04,080","02:17:07,080","I'm sorry, but you really must leave."
2241,"02:17:07,080","02:17:09,080",Please go before I count to ten.
2242,"02:17:09,080","02:17:22,080","One, two, three, four, five, six, seven, eight, nine, nine and a half."
2243,"02:17:26,080","02:17:28,080",All right.
2244,"02:17:48,080","02:17:50,080",All right.
2245,"02:17:50,080","02:17:52,080",All right.
2246,"02:17:52,080","02:17:54,080",What?
2247,"02:17:56,080","02:17:58,080","Hey, are you all right, moment?"
2248,"02:17:58,080","02:18:00,080",Look at the ground.
2249,"02:18:02,080","02:18:04,080",It's all frozen.
2250,"02:18:14,080","02:18:16,080",That's a Groke's voice.
2251,"02:18:17,080","02:18:19,080",It's cold.
2252,"02:18:19,080","02:18:20,080",Isn't it?
2253,"02:18:20,080","02:18:22,080",I don't think she'll be back tonight.
2254,"02:18:22,080","02:18:24,080",Let's all go in and have a hot drink.
2255,"02:18:26,080","02:18:29,080",The Groke didn't come back that night.
2256,"02:18:29,080","02:18:32,080",But what did she want in movement house?
2257,"02:18:32,080","02:18:39,080",And will she return perhaps another night when they're all asleep?
2258,"02:18:39,080","02:18:46,080","They love the laughter and they love the living, the movements."
2259,"02:18:46,080","02:18:54,080",Believing is sharing and caring and giving the movements.
2260,"02:18:54,080","02:18:58,080",They're always happy and always at play.
2261,"02:18:58,080","02:19:01,080",The movements are having fun day after day.
2262,"02:19:01,080","02:19:05,080",The movements.
2263,"02:19:05,080","02:19:09,080",The movements.
2264,"02:19:09,080","02:19:16,080","They love the laughter and they love the living, the movements."
2265,"02:19:16,080","02:19:23,080",Believing in sharing and caring and giving the movements.
2266,"02:19:24,080","02:19:27,080",They're always happy and always at play.
2267,"02:19:27,080","02:19:31,080",The movements are having fun day after day.
2268,"02:19:31,080","02:19:34,080",The movements.
2269,"02:19:34,080","02:19:38,080",The movements.
2270,"02:19:38,080","02:19:44,080",The movements.
2271,"02:19:53,080","02:20:04,080",The movements.
2272,"02:20:04,080","02:20:07,080",Here they are for one and all.
2273,"02:20:07,080","02:20:10,080",The movements are about to come.
2274,"02:20:10,080","02:20:13,080",Come on and sit down here with me.
2275,"02:20:13,080","02:20:15,080",They're for you on your TV.
2276,"02:20:15,080","02:20:18,080",They are the movements.
2277,"02:20:18,080","02:20:21,080",They are the movements.
2278,"02:20:21,080","02:20:24,080","So come with me, give me your hand."
2279,"02:20:24,080","02:20:27,080",I'll take you up to a movement land.
2280,"02:20:27,080","02:20:30,080",You can fly just like a bird.
2281,"02:20:30,080","02:20:32,080",Sing that song ever.
2282,"02:20:32,080","02:20:35,080",There were the movements.
2283,"02:20:35,080","02:20:38,080",There were the movements.
2284,"02:20:38,080","02:20:41,080",There were the movements.
2285,"02:20:41,080","02:20:44,080",There were the movements.
2286,"02:20:44,080","02:20:47,080",There were the movements.
2287,"02:20:47,080","02:20:50,080",There were the movements.
2288,"02:20:50,080","02:20:53,080",There were the movements.
2289,"02:20:53,080","02:20:56,080",There were the movements.
2290,"02:20:56,080","02:20:59,080",There were the movements.
2291,"02:20:59,080","02:21:02,080",There were the movements.
2292,"02:21:02,080","02:21:05,080",There were the movements.
2293,"02:21:05,080","02:21:08,080",There were the movements.
2294,"02:21:08,080","02:21:11,080",There were the movements.
2295,"02:21:11,080","02:21:14,080",There were the movements.
2296,"02:21:14,080","02:21:17,080",There were the movements.
2297,"02:21:17,080","02:21:20,080",There were the movements.
2298,"02:21:20,080","02:21:23,080",There were the movements.
2299,"02:21:43,080","02:21:45,080","With all the excitement of that night,"
2300,"02:21:45,080","02:21:50,080",Sniff decided not to go home and was sharing movement's bed.
2301,"02:21:50,080","02:21:54,080","Snuffkin, as always, preferred to sleep in his tent."
2302,"02:21:54,080","02:21:56,080",You remember what happened?
2303,"02:21:56,080","02:22:02,080",The horrible grok coming after thingamy and bob and everything freezing?
2304,"02:22:02,080","02:22:07,080","For a moment, however, the night wasn't quite over yet."
2305,"02:22:15,080","02:22:18,080","Mommy, papa! Help me!"
2306,"02:22:18,080","02:22:21,080",The grok is after me!
2307,"02:22:28,080","02:22:31,080",I can't run anymore!
2308,"02:22:46,080","02:22:51,080",Why am I on the floor?
2309,"02:22:51,080","02:22:54,080",Sniff?
2310,"02:23:03,080","02:23:05,080","Morning, mama."
2311,"02:23:05,080","02:23:08,080","Good morning, moving. Is Sniff up yet?"
2312,"02:23:08,080","02:23:10,080",You're joking.
2313,"02:23:10,080","02:23:12,080",Where is the thingamy and bob?
2314,"02:23:12,080","02:23:14,080",It's not stirred yet.
2315,"02:23:14,080","02:23:16,080",The poor things are tired out.
2316,"02:23:16,080","02:23:18,080","Papa's not still asleep, is he?"
2317,"02:23:18,080","02:23:22,080","No, he's looking at my rose bushes."
2318,"02:23:22,080","02:23:25,080","Are they okay, papa?"
2319,"02:23:25,080","02:23:27,080","No, frozen to death and look."
2320,"02:23:27,080","02:23:29,080",What?
2321,"02:23:29,080","02:23:33,080",That's where she was standing over there where the grass is dead.
2322,"02:23:36,080","02:23:39,080",She must have been real cold to freeze the roses.
2323,"02:23:39,080","02:23:41,080",What a shame! They were very pretty.
2324,"02:23:41,080","02:23:46,080",There's not much left to them now. We'll have to grow some new ones.
2325,"02:23:46,080","02:23:48,080","I dreamed that she was chasing me, papa."
2326,"02:23:48,080","02:23:53,080","Oh, don't worry, moment. I think she's only after thingamy and bob."
2327,"02:23:53,080","02:23:56,080","So there are not fugitives from justice, after all?"
2328,"02:23:56,080","02:24:01,080",I have a feeling that they would prefer that moment.
2329,"02:24:02,080","02:24:04,080",Aren't thingamy and bob coming down?
2330,"02:24:04,080","02:24:07,080","Yes, if they could have breakfast in their room, if you didn't mind."
2331,"02:24:07,080","02:24:09,080","Well, what did they tell you?"
2332,"02:24:09,080","02:24:10,080",What?
2333,"02:24:10,080","02:24:12,080",About why the groke is chasing them.
2334,"02:24:12,080","02:24:17,080","Oh, they just looked terrified and wouldn't say anything about her at all."
2335,"02:24:17,080","02:24:21,080","You know, we really ought to find out why."
2336,"02:24:21,080","02:24:23,080","Yes, you're right."
2337,"02:24:23,080","02:24:28,080","Moment, mama, why don't you take their breakfast up and see if they'll find out why?"
2338,"02:24:28,080","02:24:32,080","Moment, mama, why don't you take their breakfast up and see if they'll tell you anything?"
2339,"02:24:32,080","02:24:35,080",If any of us can get it out of the meal can.
2340,"02:24:48,080","02:24:49,080",Who's that?
2341,"02:24:49,080","02:24:53,080",It's only me. I've brought you both a nice breakfast.
2342,"02:24:58,080","02:25:05,080","Well, what did they say?"
2343,"02:25:05,080","02:25:09,080","It seems that the groke is after the suitcase, not them."
2344,"02:25:09,080","02:25:13,080","I wonder what's in it, perhaps they've stolen her mummy as well."
2345,"02:25:13,080","02:25:17,080",And they also said that it did use to belong to her.
2346,"02:25:17,080","02:25:21,080","Oh dear, if they've stolen it, they're not."
2347,"02:25:22,080","02:25:26,080",And they also said that it did use to belong to her.
2348,"02:25:26,080","02:25:28,080","Oh dear, if they've stolen it."
2349,"02:25:28,080","02:25:31,080",I don't know about that.
2350,"02:25:31,080","02:25:35,080","I asked them how they got it, but they wouldn't say another word."
2351,"02:25:35,080","02:25:36,080","Well, this is too much."
2352,"02:25:36,080","02:25:38,080",We could be harboring criminals.
2353,"02:25:38,080","02:25:42,080","I know they don't look like it, but you never know, do you?"
2354,"02:25:42,080","02:25:44,080",You can ask the groke.
2355,"02:25:44,080","02:25:45,080",Don't shout.
2356,"02:25:45,080","02:25:47,080","No, that's no good."
2357,"02:25:47,080","02:25:50,080",We don't want to come back here most definitely.
2358,"02:25:50,080","02:25:53,080",Let's ask the police inspector to question them.
2359,"02:25:53,080","02:25:56,080",We don't want to get the police involved.
2360,"02:25:56,080","02:25:58,080","Well, you'll suggest something, Anne."
2361,"02:25:58,080","02:26:02,080","Quit shouting, sniff."
2362,"02:26:02,080","02:26:07,080","Look, why don't you just wait for them to tell you a moment?"
2363,"02:26:07,080","02:26:11,080","I know it seems strange, but I've noticed that if you pretend not to be interested,"
2364,"02:26:11,080","02:26:14,080",people can't wait to tell you those secrets.
2365,"02:26:14,080","02:26:18,080","They told Mama about the suitcase, but they wouldn't say anything to Papa."
2366,"02:26:18,080","02:26:22,080","You know something, Moomin. They might open up to Snork Maiden."
2367,"02:26:22,080","02:26:24,080",She's someone more their own age.
2368,"02:26:24,080","02:26:27,080",You could be right.
2369,"02:26:30,080","02:26:32,080","Hey, Snork Maiden."
2370,"02:26:32,080","02:26:33,080",Where are you going?
2371,"02:26:33,080","02:26:35,080",Moomin house.
2372,"02:26:35,080","02:26:36,080",I'll come with you.
2373,"02:26:36,080","02:26:39,080",But I thought you were living there.
2374,"02:26:39,080","02:26:41,080",I was until mumble came back yesterday.
2375,"02:26:41,080","02:26:43,080",How is she?
2376,"02:26:43,080","02:26:46,080","Bossy, and she snores, too."
2377,"02:26:46,080","02:26:47,080",Moomin.
2378,"02:26:47,080","02:26:48,080",Snork Maiden.
2379,"02:26:48,080","02:26:50,080",Where are you off to?
2380,"02:26:50,080","02:26:53,080","Well, I was just on my way to see you."
2381,"02:26:53,080","02:26:57,080","Oh, that's so nice, and I've come to see you, Moomin."
2382,"02:26:57,080","02:27:00,080","I brought you a little present, Moomin."
2383,"02:27:00,080","02:27:01,080",A present for me.
2384,"02:27:01,080","02:27:03,080","Yes, and it's very beautiful."
2385,"02:27:03,080","02:27:04,080",What is it?
2386,"02:27:04,080","02:27:06,080",Something you must never break or lose.
2387,"02:27:06,080","02:27:08,080",I promise I won't.
2388,"02:27:08,080","02:27:10,080",There you are.
2389,"02:27:10,080","02:27:11,080",Thank you.
2390,"02:27:11,080","02:27:13,080","Go on, open it."
2391,"02:27:17,080","02:27:19,080","Oh, what a beautiful shell."
2392,"02:27:19,080","02:27:23,080",I spent all of yesterday on the beach searching for it just for you.
2393,"02:27:23,080","02:27:26,080","Look, we can see ourselves in it."
2394,"02:27:26,080","02:27:27,080",So we can.
2395,"02:27:27,080","02:27:29,080","Thank you very much, Snork Maiden."
2396,"02:27:29,080","02:27:32,080","It's my heart, and I want you to look after me."
2397,"02:27:32,080","02:27:34,080","Oh, I will, Snork Maiden."
2398,"02:27:34,080","02:27:35,080",I will.
2399,"02:27:35,080","02:27:37,080",I'll think of you whenever I look at it.
2400,"02:27:37,080","02:27:38,080",I'm Moomin.
2401,"02:27:38,080","02:27:43,080",I promise you that I'll always kiss the shell before I go to sleep.
2402,"02:27:44,080","02:27:46,080",It will be my most precious treasure.
2403,"02:27:46,080","02:27:48,080",Apart from me.
2404,"02:27:50,080","02:27:51,080",So what shall I do?
2405,"02:27:51,080","02:27:53,080",Take them for a walk?
2406,"02:27:53,080","02:27:56,080","Yes, but take your time and don't rush them."
2407,"02:27:56,080","02:27:58,080",I'll let them cry on my shoulder.
2408,"02:27:58,080","02:28:01,080","Yes, and try and talk to them as well, though."
2409,"02:28:01,080","02:28:05,080","I feel very important and a little bit nervous, too."
2410,"02:28:05,080","02:28:06,080",Have some tea first.
2411,"02:28:06,080","02:28:08,080","Thank you, Moomin, Mama."
2412,"02:28:09,080","02:28:11,080",Ah!
2413,"02:28:19,080","02:28:21,080","We don't need your help, little Mai."
2414,"02:28:21,080","02:28:22,080","Ha, that's what you think."
2415,"02:28:22,080","02:28:24,080",I'd be able to weedle out their secrets.
2416,"02:28:24,080","02:28:26,080",It's not an interrogation.
2417,"02:28:26,080","02:28:28,080","We only want to talk to them, you know."
2418,"02:28:28,080","02:28:30,080",So you can weedle out their secrets.
2419,"02:28:30,080","02:28:31,080",I'll be very quiet.
2420,"02:28:31,080","02:28:35,080","Little Mai, have you ever managed to be very quiet?"
2421,"02:28:36,080","02:28:39,080","Not really, but there's only one way to find out."
2422,"02:28:39,080","02:28:41,080",You must let me go with Snork Maiden.
2423,"02:28:41,080","02:28:45,080","No, this situation needs a tender understanding, Moomin."
2424,"02:28:46,080","02:28:48,080","That's me, exactly!"
2425,"02:28:48,080","02:28:49,080",You ready?
2426,"02:28:49,080","02:28:51,080",I suppose so.
2427,"02:28:51,080","02:28:53,080","Hello, it's Moomin."
2428,"02:28:53,080","02:28:55,080",Can I talk to you for a minute?
2429,"02:28:57,080","02:28:58,080",Hello?
2430,"02:29:00,080","02:29:01,080",This is Snork Maiden.
2431,"02:29:01,080","02:29:03,080",She's a very good friend of mine.
2432,"02:29:03,080","02:29:06,080","Hello, I'm very happy to meet you both."
2433,"02:29:07,080","02:29:09,080","She's very tender and understanding,"
2434,"02:29:09,080","02:29:10,080",and she'd like to talk to you.
2435,"02:29:10,080","02:29:11,080",Can she come in?
2436,"02:29:14,080","02:29:16,080","Well, if she has to, Moomin."
2437,"02:29:19,080","02:29:20,080","Come in, Mai."
2438,"02:29:23,080","02:29:26,080","You pee, you pee, you pee."
2439,"02:29:28,080","02:29:31,080","It's very beautiful, a perfect heart shape."
2440,"02:29:31,080","02:29:34,080","I've never seen anything like it, Moomin."
2441,"02:29:34,080","02:29:36,080","Would you like one, Mama?"
2442,"02:29:36,080","02:29:37,080","No, my dear."
2443,"02:29:37,080","02:29:39,080",There should only be one shell like this.
2444,"02:29:39,080","02:29:42,080",Then would you keep it somewhere safe for me?
2445,"02:29:48,080","02:29:50,080","Well, Snork Maiden."
2446,"02:29:52,080","02:29:54,080",I'm sure Snork Maiden will get it out of him.
2447,"02:29:54,080","02:29:57,080",I do hope so. I think they like it anyway.
2448,"02:29:58,080","02:30:02,080",I have a feeling in my bones that Groke will be back tonight.
2449,"02:30:02,080","02:30:03,080",Oh.
2450,"02:30:03,080","02:30:06,080","If we could find out why she's after them, we'd know what to do."
2451,"02:30:07,080","02:30:11,080",Mama won't have any garden left if that monster comes back every night.
2452,"02:30:11,080","02:30:12,080",Moomin.
2453,"02:30:20,080","02:30:22,080","Well done, Snork Maiden."
2454,"02:30:27,080","02:30:28,080",Little Mai.
2455,"02:30:32,080","02:30:35,080","Oh no, she'll ruin everything if we don't stop her."
2456,"02:30:40,080","02:30:43,080","If you interfere, little Mai, I'll never forgive you."
2457,"02:30:43,080","02:30:45,080","What, interfere? Me? Never."
2458,"02:30:46,080","02:30:49,080","Look, let's just leave it up to Snork Maiden now, little Mai."
2459,"02:30:49,080","02:30:52,080",You'll need me if Snork Maiden's not tender and understanding enough.
2460,"02:30:53,080","02:30:54,080","Hey, Moomin."
2461,"02:30:55,080","02:30:58,080","So, how is Snork Maiden getting on?"
2462,"02:30:58,080","02:31:01,080",Taking them for a stroll? Where are they?
2463,"02:31:09,080","02:31:11,080",If we were narrow.
2464,"02:31:11,080","02:31:13,080","Papa, if we get much closer."
2465,"02:31:13,080","02:31:16,080",And the last thing we want is for them to see us.
2466,"02:31:17,080","02:31:20,080",Looks like I'll have to go and talk to them. You're all too big.
2467,"02:31:20,080","02:31:22,080",I'll come back later and tell you what they said.
2468,"02:31:23,080","02:31:25,080","No, don't. You'll upset Snork Maiden."
